# Elements 1e+06
[00000.171 ms] [1.644725] multiplySeq
[00000.167 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 16384]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 32768]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule dynamic 65536]
[00000.163 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 64]
[00000.162 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 128]
[00000.162 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 256]
[00000.159 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 512]
[00000.163 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 1024]
[00000.165 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 2048]
[00000.169 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 4096]
[00000.165 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 8192]
[00000.165 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 16384]
[00000.162 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 32768]
[00000.163 ms] [1.644725] multiplyOpenmp [4 threads; schedule guided 65536]
[00000.165 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 64]
[00000.163 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 128]
[00000.167 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 256]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 512]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 1024]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 2048]
[00000.169 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 4096]
[00000.163 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 8192]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 16384]
[00000.162 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 32768]
[00000.161 ms] [1.644725] multiplyOpenmp [4 threads; schedule auto 65536]
[00000.210 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 64]
[00000.149 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 128]
[00000.148 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 256]
[00000.148 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 512]
[00000.149 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 1024]
[00000.150 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 2048]
[00000.149 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 4096]
[00000.085 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 8192]
[00000.084 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 16384]
[00000.088 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 32768]
[00000.085 ms] [1.644725] multiplyOpenmp [8 threads; schedule static 65536]
[00000.085 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 64]
[00000.081 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 128]
[00000.082 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 256]
[00000.080 ms] [1.644725] multiplyOpenmp [8 threads; schedule dynamic 512]
