elements,time,sum,technique,grid_limit,block_size
"100000000","2.911","1.644934","multiplyCuda","1024","1024"
"100000000","2.927","1.644934","multiplyCuda","2048","32"
"100000000","2.919","1.644934","multiplyCuda","2048","64"
"100000000","2.925","1.644934","multiplyCuda","2048","128"
"100000000","2.957","1.644934","multiplyCuda","2048","256"
"100000000","2.915","1.644934","multiplyCuda","2048","512"
"100000000","2.879","1.644934","multiplyCuda","2048","1024"
"100000000","2.928","1.644934","multiplyCuda","4096","32"
"100000000","2.924","1.644934","multiplyCuda","4096","64"
"100000000","2.962","1.644934","multiplyCuda","4096","128"
"100000000","2.909","1.644934","multiplyCuda","4096","256"
"100000000","2.882","1.644934","multiplyCuda","4096","512"
"100000000","2.873","1.644934","multiplyCuda","4096","1024"
"100000000","2.977","1.644934","multiplyCuda","8192","32"
"100000000","2.953","1.644934","multiplyCuda","8192","64"
"100000000","2.91","1.644934","multiplyCuda","8192","128"
"100000000","2.882","1.644934","multiplyCuda","8192","256"
"100000000","2.874","1.644934","multiplyCuda","8192","512"
"100000000","2.867","1.644934","multiplyCuda","8192","1024"
"100000000","2.898","1.644934","multiplyCuda","16384","32"
"100000000","2.913","1.644934","multiplyCuda","16384","64"
"100000000","2.885","1.644934","multiplyCuda","16384","128"
"100000000","2.878","1.644934","multiplyCuda","16384","256"
"100000000","2.871","1.644934","multiplyCuda","16384","512"
"100000000","2.911","1.644934","multiplyCuda","16384","1024"
"100000000","2.886","1.644934","multiplyCuda","32768","32"
"100000000","2.885","1.644934","multiplyCuda","32768","64"
"100000000","2.88","1.644934","multiplyCuda","32768","128"
"100000000","2.868","1.644934","multiplyCuda","32768","256"
"100000000","2.904","1.644934","multiplyCuda","32768","512"
"100000000","2.863","1.644934","multiplyCuda","32768","1024"
"1000000000","549.649","1.644934","multiplySeq","0","0"
